created_at,Instrument,GV1_DATE,expected_tp,Pcase,GEN_VAL3,4.5,4.75,5.0,5.25,5.5,4.25,datehour,date
2024-05-29 23:00:05.589003,USIRP25F4=R,2024-11-07,5.1863,23.480000000000004,5.375,,1.0,13.5,45.6,39.9,,2024-05-29_23,2024-05-29
2024-05-29 23:00:05.589003,USIRP25F5=R,2024-12-18,5.0461,56.08,5.375,0.6,8.0,31.5,42.4,17.5,,2024-05-29_23,2024-05-29
2024-05-30 08:00:07.266487,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-05-30_08,2024-05-30
2024-05-30 08:00:07.266487,USIRP25F2=R,2024-07-31,5.345,12.0,5.375,,,,12.0,88.0,,2024-05-30_08,2024-05-30
2024-05-30 08:00:07.266487,USIRP25F3=R,2024-09-18,5.245,40.0,5.375,,,4.8,42.4,52.8,,2024-05-30_08,2024-05-30
2024-05-30 08:00:07.266487,USIRP25F4=R,2024-11-07,5.1863,23.480000000000004,5.375,,1.1,13.6,44.8,40.4,,2024-05-30_08,2024-05-30
2024-05-30 08:00:07.266487,USIRP25F5=R,2024-12-18,5.0521,53.67999999999999,5.375,0.6,7.8,30.4,42.5,18.7,,2024-05-30_08,2024-05-30
2024-05-31 23:00:05.789832,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-05-31_23,2024-05-31
2024-05-31 23:00:05.789832,USIRP25F2=R,2024-07-31,5.34,14.000000000000002,5.375,,,,14.0,86.0,,2024-05-31_23,2024-05-31
2024-05-31 23:00:05.789832,USIRP25F3=R,2024-09-18,5.22,48.0,5.375,,,6.7,48.6,44.7,,2024-05-31_23,2024-05-31
2024-05-31 23:00:05.789832,USIRP25F4=R,2024-11-07,5.1483,28.680000000000007,5.375,,1.9,18.7,47.5,31.9,,2024-05-31_23,2024-05-31
2024-05-31 23:00:05.789832,USIRP25F5=R,2024-12-18,4.9975,60.31999999999999,5.375,1.2,12.1,36.1,38.1,12.7,,2024-05-31_23,2024-05-31
2024-06-01 06:00:06.064639,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-06-01_06,2024-06-01
2024-06-01 06:00:06.064639,USIRP25F2=R,2024-07-31,5.34,14.000000000000002,5.375,,,,14.0,86.0,,2024-06-01_06,2024-06-01
2024-06-01 06:00:06.064639,USIRP25F3=R,2024-09-18,5.225,46.0,5.375,,,6.4,47.1,46.4,,2024-06-01_06,2024-06-01
2024-06-01 06:00:06.064639,USIRP25F4=R,2024-11-07,5.1533,28.680000000000007,5.375,,1.8,18.1,46.9,33.1,,2024-06-01_06,2024-06-01
2024-06-01 06:00:06.064639,USIRP25F5=R,2024-12-18,5.0025,60.31999999999999,5.375,1.1,11.7,35.5,38.6,13.1,,2024-06-01_06,2024-06-01
2024-06-03 23:00:05.498044,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-03_23,2024-06-03
2024-06-03 23:00:05.498044,USIRP25F2=R,2024-07-31,5.3375,14.000000000000002,5.375,,,0.1,14.7,85.1,,2024-06-03_23,2024-06-03
2024-06-03 23:00:05.498044,USIRP25F3=R,2024-09-18,5.2075,52.0,5.375,,0.1,7.7,51.3,40.9,,2024-06-03_23,2024-06-03
2024-06-03 23:00:05.498044,USIRP25F4=R,2024-11-07,5.1228,33.879999999999995,5.375,0.0,2.7,22.5,47.8,27.0,,2024-06-03_23,2024-06-03
2024-06-03 23:00:05.498044,USIRP25F5=R,2024-12-18,4.9672,62.24000000000001,5.375,1.7,15.0,38.2,34.9,10.2,,2024-06-03_23,2024-06-03
2024-06-04 23:00:06.301558,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-04_23,2024-06-04
2024-06-04 23:00:06.301558,USIRP25F2=R,2024-07-31,5.3325,16.0,5.375,,,0.2,16.7,83.2,,2024-06-04_23,2024-06-04
2024-06-04 23:00:06.301558,USIRP25F3=R,2024-09-18,5.1875,57.99999999999999,5.375,,0.1,9.7,55.2,34.9,,2024-06-04_23,2024-06-04
2024-06-04 23:00:06.301558,USIRP25F4=R,2024-11-07,5.1028,33.879999999999995,5.375,0.0,3.4,25.2,48.4,23.1,,2024-06-04_23,2024-06-04
2024-06-04 23:00:06.301558,USIRP25F5=R,2024-12-18,4.9353,67.0,5.375,2.3,18.0,40.7,31.4,7.6,,2024-06-04_23,2024-06-04
2024-06-05 17:00:08.757467,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-05_17,2024-06-05
2024-06-05 17:00:08.757467,USIRP25F2=R,2024-07-31,5.3325,16.0,5.375,,,0.2,16.7,83.2,,2024-06-05_17,2024-06-05
2024-06-05 17:00:08.757467,USIRP25F3=R,2024-09-18,5.1875,57.99999999999999,5.375,,0.1,9.7,55.2,34.9,,2024-06-05_17,2024-06-05
2024-06-05 17:00:08.757467,USIRP25F4=R,2024-11-07,5.106,32.599999999999994,5.375,0.0,3.2,24.6,48.6,23.5,,2024-06-05_17,2024-06-05
2024-06-05 17:00:08.757467,USIRP25F5=R,2024-12-18,4.9308,70.08000000000001,5.375,2.3,18.2,41.4,31.0,7.0,,2024-06-05_17,2024-06-05
2024-06-07 23:00:06.010745,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-07_23,2024-06-07
2024-06-07 23:00:06.010745,USIRP25F2=R,2024-07-31,5.3525,8.0,5.375,,,0.1,8.8,91.1,,2024-06-07_23,2024-06-07
2024-06-07 23:00:06.010745,USIRP25F3=R,2024-09-18,5.2275,50.0,5.375,,0.0,4.5,50.0,45.5,,2024-06-07_23,2024-06-07
2024-06-07 23:00:06.010745,USIRP25F4=R,2024-11-07,5.1558,28.680000000000007,5.375,0.0,1.3,17.5,48.7,32.5,,2024-06-07_23,2024-06-07
2024-06-07 23:00:06.010745,USIRP25F5=R,2024-12-18,4.9811,69.88,5.375,0.9,12.6,39.3,37.4,9.8,,2024-06-07_23,2024-06-07
2024-06-08 23:00:05.820255,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-08_23,2024-06-08
2024-06-08 23:00:05.820255,USIRP25F2=R,2024-07-31,5.3525,8.0,5.375,,,0.1,8.8,91.1,,2024-06-08_23,2024-06-08
2024-06-08 23:00:05.820255,USIRP25F3=R,2024-09-18,5.2425,44.0,5.375,,0.0,3.9,45.0,51.0,,2024-06-08_23,2024-06-08
2024-06-08 23:00:05.820255,USIRP25F4=R,2024-11-07,5.1806,24.760000000000005,5.375,0.0,1.0,14.1,46.5,38.4,,2024-06-08_23,2024-06-08
2024-06-08 23:00:05.820255,USIRP25F5=R,2024-12-18,4.9826,79.2,5.375,0.8,11.4,39.8,40.1,8.0,,2024-06-08_23,2024-06-08
2024-06-09 23:00:08.582709,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-09_23,2024-06-09
2024-06-09 23:00:08.582709,USIRP25F2=R,2024-07-31,5.3525,8.0,5.375,,,0.1,8.8,91.1,,2024-06-09_23,2024-06-09
2024-06-09 23:00:08.582709,USIRP25F3=R,2024-09-18,5.2425,44.0,5.375,,0.0,3.9,45.0,51.0,,2024-06-09_23,2024-06-09
2024-06-09 23:00:08.582709,USIRP25F4=R,2024-11-07,5.1806,24.760000000000005,5.375,0.0,1.0,14.1,46.5,38.4,,2024-06-09_23,2024-06-09
2024-06-09 23:00:08.582709,USIRP25F5=R,2024-12-18,4.9826,79.2,5.375,0.8,11.4,39.8,40.1,8.0,,2024-06-09_23,2024-06-09
2024-06-10 23:00:05.634138,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-10_23,2024-06-10
2024-06-10 23:00:05.634138,USIRP25F2=R,2024-07-31,5.3525,8.0,5.375,,,0.1,8.8,91.1,,2024-06-10_23,2024-06-10
2024-06-10 23:00:05.634138,USIRP25F3=R,2024-09-18,5.2375,46.0,5.375,,0.0,4.1,46.7,49.2,,2024-06-10_23,2024-06-10
2024-06-10 23:00:05.634138,USIRP25F4=R,2024-11-07,5.1658,28.680000000000007,5.375,0.0,1.2,16.3,47.4,35.1,,2024-06-10_23,2024-06-10
2024-06-10 23:00:05.634138,USIRP25F5=R,2024-12-18,4.9911,69.88,5.375,0.8,11.8,38.0,38.8,10.6,,2024-06-10_23,2024-06-10
2024-06-11 05:00:05.222300,USIRP25F1=R,2024-06-12,5.3725,,5.375,,,,1.0,99.0,,2024-06-11_05,2024-06-11
2024-06-11 05:00:05.222300,USIRP25F2=R,2024-07-31,5.3525,8.0,5.375,,,0.1,8.8,91.1,,2024-06-11_05,2024-06-11
2024-06-11 05:00:05.222300,USIRP25F3=R,2024-09-18,5.2425,44.0,5.375,,0.0,3.9,45.0,51.0,,2024-06-11_05,2024-06-11
2024-06-11 05:00:05.222300,USIRP25F4=R,2024-11-07,5.1675,30.0,5.375,0.0,1.2,16.3,46.8,35.7,,2024-06-11_05,2024-06-11
2024-06-11 05:00:05.222300,USIRP25F5=R,2024-12-18,5.0066,64.36000000000001,5.375,0.8,10.9,35.9,39.7,12.7,,2024-06-11_05,2024-06-11
